skill_index,row,position_in_row,name,short_name,url_name,lessons,crown_levels,skill_type,is_bonus,has_final_level,icon_id,tips_and_notes_chars,skill_id
1,1,1,Letters 1,Letters 1,Letters-1,6,6,NORMAL,False,True,1,5000,f6cfa7eb534eb233a4cd5897f37aebf8
2,2,1,Letters 2,Letters 2,Letters-2,4,6,NORMAL,False,True,1,3947,fc24c5c38a36ca0af0f00e0ca09ab874
3,3,1,Letters 3,Letters 3,Letters-3,6,6,NORMAL,False,True,2,3847,1303d1b8d086a11f95653e750ba12bbe
4,4,1,Idioms,Idioms,Idioms,1,2,BONUS,True,True,48,0,627e88d9570423c7d9743c420adb6e7a
5,4,2,Israeli Slang,Slang,Israeli-Slang,3,2,BONUS,True,True,35,0,9ee7b5d94d653f9352296a93963e154b
6,4,3,Abbreviations,Abbre.,Abbreviations,3,2,BONUS,True,True,24,0,40c4372898ccc1fa003fa12edff93a97
7,5,1,Common Phrases,Phrases,Common-Phrases,4,6,NORMAL,False,True,48,1774,b7499442d2db8623f93b1e566fc22e21
8,5,2,Basics,Basics,Basics,2,6,NORMAL,False,True,49,4154,beef2546934fd76b93b65853800e57d9
9,6,1,There is/To Have,There is,There-is,3,6,NORMAL,False,True,18,2231,80d7a39e1380dd1fb654c7d6df2bf361
10,6,2,Introduction to adjectives,Adj. Intro,Introduction-to-adjectives,3,6,NORMAL,False,True,45,1640,d4ce66a565960a599c9e267249d006f1
11,7,1,Food 1,Food 1,Food-1,6,6,NORMAL,False,True,3,1710,0a89a93026874c3808d0aa2ed4095c75
12,7,2,Animals,Animals,Animals,4,6,NORMAL,False,True,6,797,e0bfbcc39e31531e27bdaf50e8f01f93
13,8,1,Plurals,Plurals,Plurals,4,6,NORMAL,False,True,44,1323,f0b0dd21689cc86d4c5997006e406b4d
14,8,2,Possessives 1,Possess.1,Possessives-1,3,6,NORMAL,False,True,41,2376,784286ca50fcb469aea7aa6c7e67ddf5
15,9,1,Adjectives 1 - Basics,Adj. 1,Adjectives1-basics,3,6,NORMAL,False,True,45,1541,6533031d10d5810f77b72ab59f5a012e
16,9,2,Direct Object,Dir. Obj.,Direct-object,2,6,NORMAL,False,True,35,1472,5a3c14ce433b01e1ea57cdce8073ab69
17,9,3,Food 2,Food 2,Food-2,7,6,NORMAL,False,True,3,0,2a7a026ae6fa4ae8965be92abfea3970
18,10,1,Clothing,Clothing,Clothing,5,6,NORMAL,False,True,26,1169,0810b2a244fd03f99e3cbce143522901
19,10,2,Verbs: Present - Pa'al,Present 1,Verbs:-Present1,9,6,NORMAL,False,True,5,4998,978addbb6e2c5a293a7a35afe4adbc49
20,11,1,Colors,Colors,Colors,2,6,NORMAL,False,True,4,798,1a6ca6c328519c396ac76199661f9699
