unit,section,cefr,teaching_objective,skill_name,levels_total,skill_levels,practice_levels,chest_levels,unit_review_levels,total_sessions,guidebook_url
1,1,Intro,learn the alphabet,Letters 1,5,2,1,1,1,19,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/293b43d6adab62f786ae7ad90f24d2c40c47a7a37b05a898cd0af846c2173be21f323a30175142169eb86af71299d2004582c88b8330c6ef72123bdd9cb9646a/14.json
2,1,Intro,,Letters 2,5,2,1,1,1,14,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/3a91160ef099c2aeeea610b4bff1676b70ef9dec1eaf42ce9b1a22d2933d1aeff9f2c72e710cc8a286eed96329a074efc24e66db955357e7987d9fcbd5b32d6a/7.json
3,1,Intro,learn the alphabet,Letters 3,5,2,1,1,1,19,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/fb1017b3eb3ac7d70002a427b10c810690af5ffcfeb74351add20eca42eff02071bbe42b24249a55551fa8b3453d38c3c5c1839f86635e958958b2345274439b/14.json
4,1,Intro,greet people,Phrases,6,2,2,1,1,16,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/0130dd52bf451b1cbc60c6d90e1f688361d08d86b1c22a95e435b7f4a1c6d0b0851815dabfc98eb71ac06b31a90d2261d86e11aa5f76544602c27015e2d02faa/15.json
5,1,Intro,describe people,Basics,6,2,2,1,1,11,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/1676b3075f3bc6df19b9ef3284f6ba5ecec0aa15e476febc79dea96bcf0d38be8a144ee3fa7d4b3e720800876a5ac88f34a023391154d4c010861ad49cc623c6/14.json
6,1,Intro,form basic sentences,There is,7,2,2,2,1,15,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/ebd60f02f5d9ce6d584a61f14db433ea9d564d731f34c034971ecb8f3d6461a91be545fab7bf2b5933ea84163f88f2f7645c36e5e40ebae75f1819d535ae3627/15.json
7,1,Intro,use adjectives,Adj. Intro,6,2,2,1,1,14,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/b8f2d921a6580b78ecd1d150f1d69dd4a9c50019b2a5a8a313fb238c529cf2cd47f60ba3195a7938be8f7734ab816395a96177ffa99c95d06f768ce84685d57c/15.json
8,1,Intro,talk about food,Food 1,6,2,2,1,1,21,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/95102e17a5ba06f342d7829b7cf7c4014ff1e7bed159274c351fbeb9cf39ce00d4244b0522ff05d1d5a31e8689e52df76ca3294a09ed00e59f1036cf670de80c/14.json
9,1,Intro,describe animals,Animals,7,2,2,2,1,17,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/5e846c8a21342e572ea6cd615d8087120d8aaa4a99ab82046d4977842f0db62070936f5afa57317a2502d6daa78cf0f8a746c8561f584ffd0e38ef5de4fcff52/14.json
10,1,Intro,form the plural,Plurals,6,2,2,1,1,16,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/9cdad26c16f80e39282ab3fe0d1af4e929c8b5689ae841d94549cc6c39f5ed09e742607bdde0c3c895b3afbbd764cab0c31aa6d3e17b5905c6cdb4f99cb42225/15.json
11,1,Intro,form the possessive,Possess.1,6,2,2,1,1,14,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/64c5ba1de2638e3ac11bbc60d193b53c2774887a6e2c8636d19a99cbb190a419e954d8cfda658c9d89c3390110154ad91ef95621341c371190ecb09f846e5f03/15.json
12,1,Intro,describe locations,Adj. 1,7,2,2,2,1,16,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/373b9b278f57da956a0230fec61536d7c199f7e17d30cebef55d11c97f0e5d813aad7e0dc253cc0e45c65f1314a1c480f844c200f6ac1be2e0810b8d0990e9b1/15.json
13,1,Intro,use object pronouns,Dir. Obj.,6,2,2,1,1,12,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/5620c424dff973f6150302b0a6efd650cd28bedbd9b2457600a35594a5bd953735f5d4655a6bdf6893e11f686ebc924e43adcc1c9c0a139e1bd6b279468eb40c/15.json
14,1,Intro,order at a restaurant,Food 2,6,2,2,1,1,25,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/47c12b18d0d8c87cd56c591314b127a7216edd7197495cbd9e136982107126238c6ff6b141f128559b2b65d2f3150988eda7216c87897c3676d8cd4ec227e00f/15.json
15,1,Intro,discuss clothes,Clothing,7,2,2,2,1,21,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/9cd74b7d586a32b18f92f1bc5270e96f27590b0fb83a64f2adb3de6a482b4d632d5f0664f68453a7145abc983782a7a966822e527f59f9481758c3a3eaf427ae/14.json
16,1,Intro,form verbs in the present,Present 1,6,2,2,1,1,30,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/23ec1dba84c3c4cc3835c96a861c72928742bdd9bbbb4d2764e4664b542eee9198dba45ed1a8afce52c9fcbd04bc8a9447744bc69e311b189baf019504aeb236/15.json
17,2,A1,discuss colors,Colors,6,2,2,1,1,12,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/fe4e69506bbb9f1b4941b3b1e060eb1c9fbe29296a254c0ef1637c9bda95533207db4f1b95dc6878754bfcf2f478057bf8ba5a05e9106cfd985c24add69fdf6e/15.json
18,2,A1,express actions with objects,Prep. 1,7,2,2,2,1,26,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/d35af8ab67e732dd4969b7ed3b85a68a532952ff4a35d15e359c8f428209519575ea543583e08395bb0bf488669953402df56c2ee17b61011e98c7fa07f566a4/15.json
19,2,A1,describe amounts,Numbers 1,6,2,2,1,1,25,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/349d3194829d355ec60e0ec22595f56e4456c07917a3e1b7cf15253b8388fcead270a49e9030eef7144b88e796ac9650b2f59252a0fb7eb5195673371fc7d0b5/14.json
20,2,A1,ask questions,Questions,6,2,2,1,1,17,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/47771384354edaf4c6950d847de2bf87779a9e56c7168546349b53add63019e82ef1c12a3404f3c9d05e44819c85fb48f16405d1848826307a7c854bf67b0bb2/15.json
21,2,A1,talk about daily life,Determiner,7,2,2,2,1,21,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/0da0680369a679506e960cd2b54ac651c298863cd75f0d279e2499e62b1e7556e219f1186bc6a23a2c46ff9cca4d2ba44f834e03e08fe637ff3af4436e3e32fd/15.json
22,2,A1,discuss work,Occupation,6,2,2,1,1,20,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/46c42b12322d017552f8ddf9e7adcdc9566c14092e4e0325e1dc582088d09b26ee2c7e22e483f27ee558099ebad28342e97f63fbe60975083f4f7e57a9a935a8/15.json
23,2,A1,form complex sentences,Conjunc.,6,2,2,1,1,22,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/78db9a51b72a1c3bdfe0de926cf46a5db8063c0b4cfc28de8668748c77cc810489206fc41723f8023f28488309b11e509c2fc8c402f45da95dac7b1a0f7b9402/14.json
24,2,A1,refer to locations,Prep 2.,7,2,2,2,1,23,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/2ec03308aadaf61d56784ef81c3dd06f0683e8a90f43ee172e325589459bff948384fe7675f5fe66c36970b8fb1ee1b91ae85e62d4d5dcd8e68d4f366f1bfe40/14.json
25,2,A1,use the possessive,Possess.2,6,2,2,1,1,15,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/cd3290657f798531d19fcfff79b4c76e6ddcbd471cffbdb6475c9cc02df58758564298c3de660330043e0fb998dd7263ba83b29c85a16941e8a193148b63547a/14.json
26,2,A1,form advanced verbs,Present 2,6,2,2,1,1,25,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/44d4ca5f7f87ab512bd76c561a98a34c2e85e7d904db1f4ef5ce90852e01483684a8ed5e44ff9992f8542da5b1e735b0b21456708c47bdf94917b2948b36c226/15.json
27,2,A1,talk about time,Time,7,2,2,2,1,33,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/662f634820316c412c0104b8cb9545901cb50ac1a807f1a97130d188734a01420754e20a5c75d61c58ab08a6e074610f5aba5cf3a9701eda88185815bad8efcd/15.json
28,2,A1,describe people and things,Adj. 2,6,2,2,1,1,27,https://d1btvuu4dwu627.cloudfront.net/guidebook/compiled/he/en/iOS/1/4047279fecfd7478eca0c6085f94e36690d1170eca124941a6ea00c9298289e3dcef263cbf7cb86f82cffb28b2e113d8d6ad459eb976b92f8af3673d27d4f92e/15.json
