absolute_index,unit,section,type,subtype,debug_name,teaching_objective,sessions,crown_level,has_level_review,skill_id,level_id
0,1,1,skill,regular,Letters 1,learn the alphabet,7,0,True,f6cfa7eb534eb233a4cd5897f37aebf8,46bbfca3ed5c3390e61c923a3dfbb977
1,1,1,skill,regular,Letters 1,learn the alphabet,7,1,True,f6cfa7eb534eb233a4cd5897f37aebf8,270a10d64c15388c9ca3c1fc48418f5b
2,1,1,practice,unit_practice,Unit Practice Level 1,,3,,False,,d08931083a0f7b6647ca551c4f35d06e
3,1,1,chest,chest,Chest 1,,1,,False,,650e1219c5f24b34da9b3eccaea6b9e5
4,1,1,unit_review,unit_review,Unit Review 0,,1,,False,,f299fc69b38a7f55b2f88cdb3bb60e38
5,2,1,skill,regular,Letters 2,,5,0,True,fc24c5c38a36ca0af0f00e0ca09ab874,26c027f7f3a4fa62c05317282d1ca436
6,2,1,skill,regular,Letters 2,,5,1,True,fc24c5c38a36ca0af0f00e0ca09ab874,089319aa4cf75d8db1fb9493e15114dd
7,2,1,practice,unit_practice,Unit Practice Level 2,,2,,False,,93b9f1c191f13650537db8b9fb2372ea
8,2,1,chest,chest,Chest 2,,1,,False,,ac4edd2bd80d9219a36e4cd083024545
9,2,1,unit_review,unit_review,Unit Review 1,,1,,False,,35e35c6677f3135ec502a3396f1a26c5
10,3,1,skill,regular,Letters 3,learn the alphabet,7,0,True,1303d1b8d086a11f95653e750ba12bbe,903561bc7028cf43eb9192da6aee4bfe
11,3,1,skill,regular,Letters 3,learn the alphabet,7,1,True,1303d1b8d086a11f95653e750ba12bbe,76427916927b511c9aa53045412b2133
12,3,1,practice,unit_practice,Unit Practice Level 3,,3,,False,,aa9058e65b172edf88d647690e84c096
13,3,1,chest,chest,Chest 3,,1,,False,,30b86b0501369a8e4dae9004ea8a3a80
14,3,1,unit_review,unit_review,Unit Review 2,,1,,False,,89ee9ea4698a7443fa2c12e6575883b3
